Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
MICRO BREW,VICTORY DIRT WOLF 2/12 PK  NR CASE,72,1.58,113.76,53.49,3851.28
MICRO BREW,HARPOON UFO HEFE WEIZN 4/6 PK NR CASE,90,1.20,108.00,40.49,3644.10
MICRO BREW,SHIPYARD IPA   VARIETY2/12 PK  NR CASE,84,1.20,100.80,40.49,3401.16
MICRO BREW,GREAT DEVIDE CANDEM 2/12 PK CAN. CASE,36,1.25,45.00,42.19,1518.84
MICRO BREW,SIERRA NEV. NOONER PILSNER 4/6 PK NR CASE ,60,1.17,70.20,39.69,2381.40
MICRO BREW,VICTORY SUMMER LOVE 2/12 PK NR CASE,216,1.22,263.52,41.29,8918.64
MICRO BREW,VICTORY VARIETY 2/12 PK NR CASE,204,1.29,263.16,43.69,8912.76
MICRO BREW,HONEY BROWN 2/12 PK NR CASE,72,0.62,44.64,19.99,1439.28
MICRO BREW,SIERRA NEV. TORP.12 OZ CAN CASE,180,1.17,210.60,39.69,7144.20
MICRO BREW,VICTORY VITAL 2/12 PK CAN CASE,48,1.10,52.80,37.89,1818.72
MICRO BREW,YOUNGS DBLCHOC. STOUT6/4 PK 14.9 CAN,4,2.20,8.80,72.29,289.16
MICRO BREW,SHIPYARD   RED IPA 2/12 PK  NR CASE,24,1.20,28.80,40.49,971.76
MICRO BREW,VICTORY HELLES LAGER2/12 PK NR CASE,156,1.22,190.32,41.29,6441.24
MICRO BREW,UINTA  TRIO VARIETY CAN 18 PK,18,1.04,18.72,25.99,467.82
MICRO BREW,LANC.  KOLSCH 4/6 PK  CAN CASE,24,0.92,22.08,30.99,743.76
MICRO BREW,BROOKLYN BROWN ALE 4/6 PK NR CASE,72,1.16,83.52,39.39,2836.08
MICRO BREW,BROOKLYN LAGER 4/6 PK NR CASE,66,1.16,76.56,39.39,2599.74
MICRO BREW,BROOKLYN VARIETY 2/12 PK NR CASE,72,1.16,83.52,39.39,2836.08
MICRO BREW,OMMEGANG 3 PHIL.6/4 PK NR CASE,12,3.13,37.56,105.80,1269.60
MICRO BREW,TRULY POMEGRANTE 4/6 PK NR CASE,72,1.13,81.36,39.89,2872.08
MICRO BREW,TRULY GRAPE FRUIT4/6 PK  NR CASE,132,1.13,149.16,38.39,5067.48
MICRO BREW,TRULY LIME 4/6 PK NR  CASE,78,1.13,88.14,38.39,2994.42
MICRO BREW,TRULY VARIETY 2/12 PK  CAN  CASE,180,1.10,198.00,38.39,6910.20
MICRO BREW,VICTORY VITAL IPA 2/12 PK NR CASE,72,1.22,87.84,41.29,2972.88
MICRO BREW,HARPOON FRESH TRACKS 12 PK DISC,2,23.96,47.92,20.99,41.98
MICRO BREW,TROEGS HOPBACK 2/12 PK NR CASE,12,0.69,8.28,39.49,473.88
MICRO BREW,TROEGS TROEGENATOR 2/12 PK NR CASE,96,1.22,117.12,39.49,3791.04
MICRO BREW,TROEGS SOLID  SENDER  ALE 2/12 PK NR CASE,108,1.19,128.52,39.49,4264.92
MICRO BREW,TROEGS VARIETY 2/12 PK NR CASE,240,1.22,292.80,39.49,9477.60
MICRO BREW,TROEGS DREAMWEAVER2/12 PK NR CASE,60,1.19,71.40,27.49,1649.40
MICRO BREW,SHOCK TOP 2/12 PK NR CASE,120,1.00,120.00,32.89,3946.80
MICRO BREW,TROEGS JAVA HEAD2 /12 PK NR CASE,108,1.22,131.76,39.49,4264.92
MICRO BREW,LANDSHARK 2/12 PK  NR CASE,384,0.88,337.92,29.39,11285.76
MICRO BREW,WILD BLUE 4/6 PK NR CASE,54,1.30,70.20,38.89,2100.06
MICRO BREW,TROEGS PERPETUA2/12 PK NR CASE,456,1.22,556.32,39.49,18007.44
MICRO BREW,LEFFE 12 OZ NR 4/6/PK CASE,108,1.30,140.40,39.69,4286.52
MICRO BREW,KONA LONGBOARD 2/12 PK NR CASE,48,1.33,63.84,41.69,2001.12
MICRO BREW,KONA VARIETY 2/12 PK NR CASE,84,1.24,104.16,41.69,3501.96
MICRO BREW,EVO VARIETY 2/12 NR CASE,72,1.34,96.48,43.39,3124.08
MICRO BREW,TROEGS PERPET.2/12 PK CANS CASE,96,1.20,115.20,39.49,3791.04
MICRO BREW,SHOCK TOP 4/6 PK 16 OZ CAN,248,0.88,218.24,26.99,6693.52
MICRO BREW,LANDSHARK  16 OZ CAN 6/4 PK CASE,1032,0.76,784.32,23.99,24757.68
MICRO BREW,BLUE POINT TOAST LAGER2/12 PK NR CASE,48,1.24,59.52,42.19,2025.12
MICRO BREW,BLUE POINT2/12 PK SUMMER VARIETY CASE,84,1.26,105.84,40.89,3434.76
MICRO BREW,GOOSE ISLAND  FLIGHT PACK VARIETY 2/12 PK NR CASE,72,0.81,58.32,40.19,2893.68
MICRO BREW,SWEET WATER 420 2/12 PK NR CASE,24,1.25,30.00,41.19,988.56
MICRO BREW,SWEET WATER IPA 2/12 PK NR CASE,96,1.25,120.00,41.19,3954.24
MICRO BREW,SWEET WATER VARIETY2/12 PK CASE,24,1.25,30.00,41.19,988.56
MICRO BREW,SHOCK TOP 12 OZ CAN 15PK,12,12.76,153.12,16.69,200.28
MICRO BREW,EVO LOT 3 4/6PK NR CASE,102,1.30,132.60,40.69,4150.38
MICRO BREW,SWEET WATER GOING COAST 4/ 6 PK CASE,60,1.30,78.00,41.19,2471.40
MICRO BREW,EVOLUTION PINE HOPLE 4/6 PK NR CASE,48,1.30,62.40,43.79,2101.92
MICRO BREW,GOOSE ISLAND  IPA CAN CASE,48,1.22,58.56,39.49,1895.52
MICRO BREW,LANDSHARK 2/12 OZ CAN CASE,12,0.88,10.56,29.39,352.68
MICRO BREW,TWO HEARTED ALE 4/6 PK NR CASE,7,1.40,9.80,47.29,331.03
MICRO BREW,STONE I.P.A. 2/12 PK NR CASE,12,1.31,15.72,43.99,527.88
MICRO BREW,DU CLAW SB JESUS 2/12 NR CASE,42,1.31,55.02,43.39,1822.38
MICRO BREW,STONE ALL  IPA MIX PACK 2/12 PK NR CASE,24,1.31,31.44,43.99,1055.76
MICRO BREW,BELLS OBERON ALE 2/12 PK NR CASE,48,1.12,53.76,37.99,1823.52
MICRO BREW,TWO HEARTED ALE 6/4 PK 16 OZ CAN CASE,21,1.46,30.66,49.49,1039.29
MICRO BREW,BALLAST POINT SEXTON VARIETY 2/12 PK NR CASE,24,2.19,52.56,73.99,1775.76
