Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
PORTER,DESCHUTES BLK BUTTE PORTER 4/6 PK NR CASE,24,1.34,32.16,44.50,1068.00
,Total,24,,$32.16,,$1068
HARD SODA,,,,
HARD SODA,HENRYS HARD SODA GRAPE 4/6 PK NR CASE,180,1.12,201.60,38.49,6928.20
HARD SODA,HENRYS HARD SODA CHERRY 4/6 PK NR CASE,126,1.14,143.64,36.99,4660.74
HARD SODA,HENRYS HARD SODA ORANGE 4/6 PK NR CASE,402,1.13,454.26,36.99,14869.98
,Total,708,,$799.5,,$26458.92
Test Cat,,,,
Test Cat,Testing Item,320,0.24,76.80,0.51,163.20
Test Cat,Testing Item,10,0.14,1.40,2.88,28.80
,Total,330,,$78.2,,$192
General,,,,
General,123 test sku,17,0.36,6.12,3.02,51.34
General,123 stn,19,0.23,4.37,1.99,37.81
,Total,36,,$10.49,,$89.15
,Grand Total,46387,,$85026.52,,$1564982.05
