Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,018200113499,BUD 12OZ NR LOOSE CASE,0,24.59,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200533495,BUD LIGHT 12 OZ NR LOOSE CASE,8,24.59,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200530302,BUD LIGHT 30 PACK,114,23.49,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200370304,BUD ICE  30 PACK,16,25.99,1,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BLLNRCASE,BUD LIGHT LIME 2/12 PK NR CASE,228,27.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,RED66,RED BRIDGE  4/6 PK NR CASE,78,39.29,24,BEER DOMESTIC,BUDWEISER,U16
Standard,018200964275,BUD LIGHT LIME 7 OZ NR,0,20.99,1,BEER DOMESTIC,BUDWEISER,U8
Standard,BLL50,BUD LIGHT LIME 1/2 BARREL,0,136.71,1,BEER DOMESTIC,BUDWEISER,B12
Standard,856257002058,DUQUESNE 30 PACK,0,19.79,1,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BLP66,NOT AVAIL,168,27.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,702770081042,OMISSION LAGER 4/6 PK NR CASE,0,49.69,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,OPA66,OMISSION PALE ALE 4/6 PK 12OZ CASE,0,49.69,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,1146,NOT AVAIL,0,24.39,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,1046,BUD  16OZ CANS3/8PK CASE,144,24.39,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BLP46,BUD LIGHT PLAT. 16 OZ CAN 6/4 PK CASE,296,26.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BLL46,BUD LIGHT LIME 16 OZ CAN 6/4 PK CASE,284,26.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,702770083046,OMISSION IPA  4/6 PK NR CASE,0,49.69,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,018200189920,BUD LIGHT PLATINUM 2/12 PK NR CASE,132,27.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,018200007712,BUD 12OZ 2/12 PK NR CASE,84,26.49,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,018200007699,BUD LIGHT 2/12 PK NR CASE,204,26.49,24,BEER DOMESTIC,BUDWEISER,U16
Standard,018200149900,BUD LIGHT LIM 12 OZ NR 12 PACK,-3,14.99,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200281334,BUD LIGHT LIME 30 PACK,15,24.89,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200089817,BUD  16OZ CANS 8 PK,-7,8.89,1,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,018200089893,BUD LIGHT 3/8 PK 16 OZ CAN CASE,76,24.39,24,BEER DOMESTIC,BUDWEISER,U16
Standard,018200112188,BUD 12 OZ CAN 18 PACK,14,14.99,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200532184,BUD LIGHT 12 OZ  CAN18 PACK,18,14.99,1,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,1124,BUD LIGHT 12OZ CANS CASE,0,23.69,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,018200530470,BUD LIGHT 2/12 PK CAN CASE,36,23.39,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BUD12,BUD 12OZ CANS CASE,0,23.69,24,BEER DOMESTIC,BUDWEISER,U16
Standard,018200110474,BUD  12OZ CANS 12 PK,0,12.89,1,BEER DOMESTIC,BUDWEISER,U16
Standard,1050,BUD 1/2 BARREL,0,119.99,1,BEER DOMESTIC,BUDWEISER,B12
Standard,1150,BUD LIGHT 1/2 BARREL,0,122.99,1,BEER DOMESTIC,BUDWEISER,B12
Lot Matrix,BA1638,BUD  ALUMINUM 16A3/8 CASE,189,26.49,24,BEER DOMESTIC,BUDWEISER,U16
Standard,018200219795,BUD  ALUMINUM 16A8 PK,-4,8.89,1,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BLA3/8 CASE,NOT AVAIL,96,25.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,018200209987,BUD LIGHT  ALUMINUM  16 OZ 3/8PK CASE,312,26.49,24,BEER DOMESTIC,BUDWEISER,U16
Standard,1125,BUD LIGHT 1/4 KEG,0,68.69,1,BEER DOMESTIC,BUDWEISER,B1/4
Standard,BLL18,BUD LIGHT LIME 12 OZ CAN 18 PACK,0,16.39,1,BEER DOMESTIC,BUDWEISER,U16
Standard,BA212C,BUD  ALUMINUM 16A2/12CASE,0,24.49,1,BEER DOMESTIC,BUDWEISER,U16
Standard,BA212PK,BUD  ALUMINUM 16A2/12 12 PK,1,13.29,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200610301,BUSCH 30 PACK,52,19.99,1,BEER DOMESTIC,BUSCH,U16
Standard,018200860317,BUSCH LIGHT  30 PACK,44,19.99,1,BEER DOMESTIC,BUSCH,U16
Standard,018200611827,BUSCH 16OZ CANS 18 PK,12,15.19,1,BEER DOMESTIC,BUSCH,U16
Standard,018200861826,BUSCH  LIGHT 16OZ CANS 18 PK,9,15.19,1,BEER DOMESTIC,BUSCH,U16
Standard,018200272189,NATURAL ICE 12OZ CANS 18 PK,7,10.99,1,BEER DOMESTIC,BUSCH,U16
Standard,018200152184,NATURAL LIGHT 12OZ CAN 18 PK,13,10.99,1,BEER DOMESTIC,BUSCH,U16
Lot Matrix,089924182948,CHESTERFIELD ALE  4/6 PK NR CASE,204,27.99,24,BEER DOMESTIC,CHESTERFIELD ALE,U16
Lot Matrix,089924179917,NOT AVAIL,0,21.99,24,BEER DOMESTIC,CHESTERFIELD ALE,U16
Lot Matrix,089924169918,CHESTERFIELD 2/12 PK 12 OZ CAN CASE,432,22.79,24,BEER DOMESTIC,CHESTERFIELD ALE,U16
Standard,071990100339,COORS 30 PACK,23,23.79,1,BEER DOMESTIC,COORS,U16
Standard,CLT 1/4 BAR,COORS LIGHT 1/4 BARREL,0,65.49,1,BEER DOMESTIC,COORS,B14
Standard,034100807412,HAMMS 30 PACK,11,14.79,1,BEER DOMESTIC,COORS,U16
Standard,3625,COORS 1/4 BARREL,0,59.89,1,BEER DOMESTIC,COORS,B14
Lot Matrix,887151000222,TIME TRAVELER,0,37.59,24,BEER DOMESTIC,COORS,U16
Standard,071990900298,COORS EXTRA GOLD 30 PACK,27,17.69,1,BEER DOMESTIC,COORS EXTRA GOLD,U16
Standard,071990914004,COORS EXTRA GOLD 12 PACK,0,8.99,1,BEER DOMESTIC,COORS EXTRA GOLD,U16
Standard,071990300791,COORS LIGHT NR LOOSE CASE,56,23.49,1,BEER DOMESTIC,COORS LIGHT,U16
Standard,071990300227,COORS LIGHT 7OZ NR,6,16.69,1,BEER DOMESTIC,COORS LIGHT,U8
Standard,071990300838,COORS LIGHT 8OZ CANS  LOOSE CASE,13,13.99,1,BEER DOMESTIC,COORS LIGHT,U8
Standard,CLT 1/2 BAR,COORS LIGHT 1/2 BARREL,0,116.99,1,BEER DOMESTIC,COORS LIGHT,B12
Standard,071990300302,COORS LIGHT 30 PACK,109,23.79,1,BEER DOMESTIC,COORS LIGHT,U16
Lot Matrix,071990320003,COORS LIGHT 16 OZ CAN 4/6 PK CASE,186,24.89,24,BEER DOMESTIC,COORS LIGHT,U16
Standard,071990300739,COORS LIGHT 16OZ CANS 18 PACK,35,18.29,1,BEER DOMESTIC,COORS LIGHT,U16
Lot Matrix,C L ALUM18 PK,COORS LIGHT ALUM.2/9 PK CASE,171,21.79,18,BEER DOMESTIC,COORS LIGHT,U16
Standard,3018,MILLER HIGH LIFE 18 PACK CANS,0,13.39,1,BEER DOMESTIC,COORS LIGHT,U16
Standard,071990300852,COORS LIGHT COOLER BAGS,45,28.59,1,BEER DOMESTIC,COORS LIGHT,U16
Standard,071990300616,COORS LIGHT 10 OZ CAN LOOSE CASE,9,18.39,1,BEER DOMESTIC,COORS LIGHT,U16
Standard,071990100810,COORS  12OZ NR LOOSE CASE,4,23.49,1,BEER DOMESTIC,COORS LIGHT,U16
Standard,RA50,REDDS APPLE 1/2 BARREL,0,154.94,1,CIDER,CIDER,B12
Standard,BIPA,BALLANTINE IPA  12OZ NR,0,37.49,1,BEER DOMESTIC,COORS LIGHT,U16
Lot Matrix,071990000486,COORS LIGHT 2/12 PK 12 OZ CAN CASE,36,22.79,24,BEER DOMESTIC,COORS LIGHT,U16
Standard,071990301040,NOT AVAL,0,11.89,1,General,,U16
Lot Matrix,3724,NOT AVAIL,0,22.79,24,BEER DOMESTIC,COORS LIGHT,U16
Standard,070310000113,GENESEE 30 PACK,24,14.49,1,BEER DOMESTIC,GENESSE,U16
Standard,070310000137,GENESEE LIGHT  30 PACK,17,14.49,1,BEER DOMESTIC,GENESSE,U16
Standard,070310000144,GENESEE ICE  30 PACK,26,14.49,1,BEER DOMESTIC,GENESSE,U16
Lot Matrix,GSB24,GENESEE SPRING BOCK CAN CASE,0,15.59,24,BEER DOMESTIC,GENESSE,U16
Standard,20NA30,GENESEE NA 30 PACK,12,14.49,1,BEER DOMESTIC,GENESSE,U16
Standard,071990480196,KEYSTONE LIGHT30 PACK,40,18.99,1,BEER DOMESTIC,KEYSTONE,U16
Standard,071990480172,KEYSTONE LIGHT 16OZ 18 PACK,32,15.99,1,BEER DOMESTIC,KEYSTONE,U16
Standard,KL50,KEYSTONE LIGHT 1/2 BARREL,0,101.28,1,BEER DOMESTIC,KEYSTONE,B12
Standard,2150,GENESEE LIGHT  1/2 BARREL,0,50.62,1,BEER DOMESTIC,KEYSTONE,B12
Lot Matrix,071990700072,KILLIANS RED 2/12 PK NR CASE,120,29.99,24,BEER DOMESTIC,KILLIANS,U16
Standard,071990764005,KILLIANS RED NR 12 PK,0,14.99,1,BEER DOMESTIC,KILLIANS,U16
Standard,085053420012,LIONS HEAD 12OZ NR,9,16.99,1,BEER DOMESTIC,LIONSHEAD,U16
Standard,085053520385,LIONS HEAD LIGHT 12OZ NR,7,16.99,1,BEER DOMESTIC,LIONSHEAD,U16
Standard,LIONSHEAD24,LIONS HEAD 12OZ CAN LOOSE CASE,4,14.99,1,BEER DOMESTIC,LIONSHEAD,U16
Standard,034100572433,LITE 12 OZ NR LOOSE CASE,48,23.49,1,BEER DOMESTIC,LITE,U16
Lot Matrix,034100573911,LITE 7OZ NR,3,15.59,1,BEER DOMESTIC,LITE,U8
Standard,LT 1/2BAR,LITE 1/2 BARREL,0,114.95,1,BEER DOMESTIC,LITE,B12
Lot Matrix,LT 1/4BAR,LITE 1/4 BARREL,0,65.49,1,BEER DOMESTIC,LITE,B14
Standard,034100573065,NOT AVAIL,-5,22.19,1,BEER DOMESTIC,LITE,U16
Standard,034100573416,LITE  30 PACK,114,23.79,1,BEER DOMESTIC,LITE,U16
Lot Matrix,03435719,LITE 16 OZ CAN 4/6 PK  CASE,300,27.69,24,BEER DOMESTIC,LITE,U16
Lot Matrix,034100573126,LITE 8 OZ CAN,6,15.69,1,BEER DOMESTIC,LITE,U8
Lot Matrix,034100570224,LITE ALUM. 18 PKCASE,171,21.79,18,BEER DOMESTIC,LITE,U16
Standard,3050,MILLER HIGH LIFE 1/2 BARREL,0,93.53,1,BEER DOMESTIC,LITE,B12
Lot Matrix,034100573218,LITE 10 OZ CAN,11,17.29,1,BEER DOMESTIC,LITE,U8
Standard,034100573812,LITE 16OZ 18 pack CANS,24,18.29,1,BEER DOMESTIC,LITE,U16
Lot Matrix,F46,FORTUNE 16 OZ CAN,0,32.39,24,BEER DOMESTIC,LITE,U16
Standard,034100575090,LITE NR 12 PACK,22,13.69,2,BEER DOMESTIC,LITE,U16
Lot Matrix,034100576363,LITE 2/12 PK CAN CASE,0,22.79,24,BEER DOMESTIC,LITE,U16
Standard,034100570231,NOT AVAL,-11,11.89,1,General,,U16
Lot Matrix,082488123778,BECK  16 OZ CAN 6/4 PK CASE,216,26.99,24,BEER DOMESTIC,LITE,U16
Standard,01856420,BECK SAPHIRE  16 OZ CAN,0,25.29,1,BEER DOMESTIC,LITE,U16
Lot Matrix,018200413728,MICHELOB  2/12 PK NRCASE,36,26.49,24,BEER DOMESTIC,MICHELOB,U16
Standard,018200410307,MICHELOB 30 PK,3,26.69,1,BEER DOMESTIC,MICHELOB,U16
Lot Matrix,018200967283,MICH. ULTRA 2/12 PK NR CASE,672,26.49,24,BEER DOMESTIC,MICHELOB,U16
Standard,MU50,MICH. UlTRA 1/2 BARREL,0,122.78,1,BEER DOMESTIC,MICHELOB,B12
Standard,018200965500,MICH. ULTRA 30 PACK,73,26.69,1,BEER DOMESTIC,MICHELOB,U16
Lot Matrix,2666,NOT AVAIL,0,26.49,24,BEER DOMESTIC,MICHELOB,U16
Standard,018200430305,MICHELOB LIGHT 30 PACK,1,26.69,1,BEER DOMESTIC,MICHELOB,U16
Lot Matrix,MAB66,MICHELOB AMB BOCK 2/12 PK NR CASE,84,26.49,24,BEER DOMESTIC,MICHELOB,U16
Standard,018200109874,MICH. UL. AMB. NR 12 PACK,-3,14.29,1,BEER DOMESTIC,MICHELOB,U16
Lot Matrix,MU46,MICH. ULT. 3/8PK 16 OZ CASE,348,36.49,24,BEER DOMESTIC,MICHELOB,U16
Lot Matrix,040063175406,KIRIN ICHIBAN 4/6 PK NR CASE,84,39.89,24,BEER DOMESTIC,MICHELOB,U16
Standard,018200019913,NOT AVAL,0,14.29,1,General,,U16
Lot Matrix,MUA66,MICH. UL.  AMB.2/12 PK NR CASE,96,26.49,24,BEER DOMESTIC,MICHELOB,U16
Standard,018200008917,MICHELOB 12 OZ NR 12 PACK,-1,14.29,1,BEER DOMESTIC,MICHELOB,U16
Standard,018200059902,MICH. ULTRA 12OZ NR 12 PK,-9,14.29,1,BEER DOMESTIC,MICHELOB,U16
Lot Matrix,018200008849,MICHELOB LIGHT12 OZ NR 2/12 PK CASE,132,26.49,24,BEER DOMESTIC,MICHELOB,U16
Standard,018200239861,MICH. ULT. 16 OZ CAN 8PK,-8,12.99,1,BEER DOMESTIC,MICHELOB,U16
Standard,018200967214,MICH. ULTRA 12OZ  CAN 18 PK,21,16.79,1,BEER DOMESTIC,MICHELOB,U16
Standard,018200966248,MICH. ULTRA12 OZ  NR 18 PK,16,15.99,1,BEER DOMESTIC,MICHELOB,U16
Lot Matrix,MICHALMNCASE,MICH. ULT. ALLUMN  3/8 PK CASE,220,39.39,24,BEER DOMESTIC,MICHELOB,U16
Standard,034100778354,MICKEY MALT 12OZ NR,7,24.49,1,BEER DOMESTIC,MICKEY,U16
Lot Matrix,034100172435,MGD 12OZ NR LOOSE CASE,240,23.58,24,BEER DOMESTIC,MILLER,U16
Lot Matrix,034100172367,MILLER DRAFT 7OZNR,0,14.99,24,BEER DOMESTIC,MILLER,U8
Standard,034100173418,MGD 30 PACK,8,24.79,1,BEER DOMESTIC,MILLER,U16
Lot Matrix,034100152437,MILLER   64  12OZ NR LOOSE CASE,96,23.58,24,BEER DOMESTIC,MILLER,U16
Standard,034100012434,MILLER HIGHLIFE 12OZ NR LOOSE CASE,11,21.29,1,BEER DOMESTIC,MILLER,U16
Lot Matrix,034100016401,MILLER HIGHLIFE 7OZ NR,0,13.79,24,BEER DOMESTIC,MILLER,U8
Standard,034100013417,MILLER HIGHLIFE 30 PACK,9,21.99,1,BEER DOMESTIC,MILLER,U16
Standard,034100032432,MILLER HIGHLIFE LIGHT 12OZ NR LOOSE CASE,2,21.29,1,BEER DOMESTIC,MILLER,U16
Standard,034100033415,MILLER HIGHLIFE LIGHT 30 PACK,10,20.75,1,BEER DOMESTIC,MILLER,U16
Standard,3025,MILLER HIGH LIFE  1/4 BARREL,0,60.98,1,BEER DOMESTIC,MILLER,B14
Standard,m6430,MILLER 64 30 PACK,13,23.79,1,BEER DOMESTIC,MILLER,U16
Lot Matrix,FORCASE,FORTUNE12OZ NR CASE,0,28.59,24,BEER DOMESTIC,MILLER,U16
Standard,034100088132,FORTUNE12OZ NR 12 PACK,0,15.29,1,BEER DOMESTIC,MILLER,U16
Standard,034100673413,RED DOG 30 PACK,5,18.99,1,BEER DOMESTIC,MILLER,U16
Standard,034100073411,MILWAUKEE B. LIGHT 30 PACK,9,16.49,1,BEER DOMESTIC,MILWAUKEE,U16
Standard,034100313418,MILWAUKEE BEST30 PACK,13,16.49,1,BEER DOMESTIC,MILWAUKEE,U16
Standard,034100303419,MILWAUKEE B. ICE 30 PACK,16,16.49,1,BEER DOMESTIC,MILWAUKEE,U16
Standard,072720014353,BLACK LABEL 24 PACK CAN,10,15.59,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,718122330423,SEVEN GATES 4/6 PK 12 OZ CAN CASE,-24,44.69,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,N24,NARRAGANSETT CAN 24 PK,0,18.99,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,070310001417,NARRAGANSETT CAN 12 PK,0,10.49,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,NSV24,NARRAGANSETT SUMMER VAR CASE,0,20.38,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,019962165436,NARRAGANSETT SUMMER VAR 12 PK,0,18.39,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,NS24,NARRAGANSETT SHANDY CASE,0,30.38,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,019962164538,NARRAGANSETT SHANDY 12 PK,0,18.39,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,081780810546,21ST AMEND. VAR.2/12 PK CAN CASE,36,37.19,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,2IPACANSCASE,21ST AMEND. BREW FREE IPA 4/6 PK CAN CASE,126,37.19,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,21BIB,21ST AMEND BACK IN BLACK 4/6 PK CAN CASE,42,37.19,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,859612001116,21ST AMENDMENT DOWN TO EARTH 2/12 PK CAN CASE,0,37.19,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,859612001024,21ST AMENDMENT SNEAK ATTACK,0,37.19,2,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,AO16,ANGRY ORCHARD 1/6 BARREL,0,78.42,1,CIDER,CIDER,B16
Standard,859612001147,21ST AMEND. IPA  CANS 12 PACK,0,19.59,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,21V12,21ST AMEND. VAR. CANS 12 PK,0,19.59,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,21WW24,NOT AVAIL,0,37199.99,24,MICRO BREW,MICRO BREW,U16
Standard,859612001130,21ST AMEND HELL OR HIGH 12 PK,-1,19.59,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,LANDSHARK 1/2,LANDSHARK  1/2 BARREL,0,136.79,1,BEER DOMESTIC,MISC. DOMESTIC,B16
Lot Matrix,644381101422,WOLAVERS COFFEE PORTER,0,43.89,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,PV66,PENN VARIETY NR CASE,0,41.69,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,706904003009,PENN PILSNER NR CASE,0,39.49,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,706904093000,PENN WEIZEN NR,0,29.99,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,706904002002,PENN CHOC MELT NR CASE,0,46.99,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,706904054001,PENN  ST. NICK BOCH 12 PACK,0,26.49,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,PSNB,PENN  ST. NICK BOCK NR CASE,0,39.49,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,706904064000,PENN VARIETY NR 12 PACK,0,21.89,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,PP12,PENN PILSNER NR 12 PK,1,20.79,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,HURR24,HURRICANE 12 OZ CAN CASE,0,11.19,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,018200109980,HURRICANE2/12 PK CAN CASE,312,11.69,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,PTS66,PENN TANG SWIRL NR CASE,0,39.49,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,706904304007,PENN TANG SWIRL NR 12 PK,-1,21.89,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,OF46,OLD FORGE16OZ CANS3/8PK CASE,4,19.99,24,BEER DOMESTIC,MICRO BREW,U16
Standard,855407003181,OLD FORGE16OZ CANS3/8PK 8 PK,1,17.09,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,PNRA,PENN  NUT ROLL ALE NR CASE,0,50.99,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,706904204000,PENN  NUT ROLL ALE NR 12 PK,-1,26.49,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,IC30,IRON CITY 30 PACK,0,23.69,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,ICL30,IRON CITY LIGHT 30 PACK,0,23.69,1,BEER DOMESTIC,MISC. DOMESTIC,U16
Lot Matrix,614036121372,NEW HOLLAND DRAGON MILK,0,59.99,24,BEER DOMESTIC,MISC. DOMESTIC,U16
Standard,018200150302,NATURAL LIGHT 30 PACK,38,16.49,1,BEER DOMESTIC,NATURAL,U16
Standard,018200270307,NATURAL ICE 30 PACK,90,16.49,1,BEER DOMESTIC,NATURAL,U16
Standard,052300004349,OLD MILWAUKEE 30 PACK,10,19.10,1,BEER DOMESTIC,OLD MILWAUKEE,U16
Standard,713757975322,NARRAGANSETT 30 PACK,12,21.79,1,BEER DOMESTIC,OLD MILWAUKEE,U16
Standard,052300004356,OLD MILWAUKEE LIGHT 30 PACK,4,19.10,1,BEER DOMESTIC,OLD MILWAUKEE,U16
Lot Matrix,022100013001,PABST 12OZ 2/ 12 PK NR CASE,216,20.99,24,BEER DOMESTIC,PABST,U16
Standard,022100001718,PABST 12 OZ CAN LOOSE CASE,300,18.19,7,BEER DOMESTIC,PABST,U16
Standard,1630,NOT AVAIL,0,21.99,1,BEER DOMESTIC,PABST,U16
Standard,1611,PABST LIGHT 24  CANNOT AVAILAB,0,16.99,1,BEER DOMESTIC,PABST,U16
Standard,071250259098,NATIONAL BOHEMIAN 30 PK,16,20.39,1,BEER DOMESTIC,PABST,U16
Standard,070310012468,HONEY BROWN 30 PACK,4,19.19,1,BEER DOMESTIC,PABST,U16
Standard,022100002883,PABST 12OZ NR 12 PACK,-5,11.99,1,BEER DOMESTIC,PABST,U16
Standard,022100001701,PABST 12 OZ CAN12 PACK,0,10.19,1,BEER DOMESTIC,PABST,U16
Lot Matrix,1546,PABST 16 OZ CAN 2/12 PK CASE,120,22.79,24,BEER DOMESTIC,PABST,U16
Standard,022100001817,PABST 16 OZ CAN 12 PK,-3,12.39,1,BEER DOMESTIC,PABST,U16
Standard,DSA1/2,DOS EQUIS AMBER1/2 BARREL,0,141.46,1,BEER DOMESTIC,ROLLING ROCK,B12
Lot Matrix,8066,ROLLING ROCK 2/12 PK 12OZ NR CASE,552,23.19,24,BEER DOMESTIC,ROLLING ROCK,U16
Standard,071439700243,ROLLING ROCK 7OZ NR,7,17.29,1,BEER DOMESTIC,ROLLING ROCK,U8
Standard,RR 1/2 BAR,ROLLING ROCK 1/2 BARREL,0,122.78,1,BEER DOMESTIC,ROLLING ROCK,B12
Standard,8030,ROLLING ROCK 30 PACK,11,24.69,1,BEER DOMESTIC,ROLLING ROCK,U16
Lot Matrix,8046,ROLLING ROCK 16 OZ CAN 4/6 PK CASE,480,22.96,24,BEER DOMESTIC,ROLLING ROCK,U16
Standard,071439457123,ROLLING ROCK 12OZ NR 12 PK,0,12.59,1,BEER DOMESTIC,ROLLING ROCK,U16
Standard,071439344188,ROLLING ROCK 12 OZ CAN 18 PK,8,13.99,1,BEER DOMESTIC,ROLLING ROCK,U16
Standard,072480024166,SCHAEFER 30 PACK,4,18.79,1,BEER DOMESTIC,SCHAEFER,U16
Lot Matrix,020604205007,STRAUB LIGHT 2/12 PK NR CASE,-20,27.99,24,BEER DOMESTIC,STRAUB,U16
Lot Matrix,020604201009,STRAUB LAGER 2/12 NR CASE,96,27.99,24,BEER DOMESTIC,STRAUB,U16
Lot Matrix,SL24,STRAUB LAGER 2/12 PK CAN CASE,204,21.99,24,BEER DOMESTIC,STRAUB,U16
Lot Matrix,SLL24,STRAUB LIGHT 2/12 PK CAN CASE,84,21.99,24,BEER DOMESTIC,STRAUB,U16
Lot Matrix,020604203003,STRAUB AMBER 2/12 PK NR CASE,96,27.99,24,BEER DOMESTIC,STRAUB,U16
Lot Matrix,SA24,STRAUB AMBER 2/12 PK CAN CASE,120,21.99,24,BEER DOMESTIC,STRAUB,U16
Standard,020604310008,STRAUB LAGER CAN 12 PAC,-2,11.99,1,BEER DOMESTIC,STRAUB,U16
Standard,020604330006,STRAUB AMBER  CAN 12 PACK,0,11.99,1,BEER DOMESTIC,STRAUB,U16
Standard,020604320007,STRAUB LIGHT CAN 12 PACK,0,11.99,1,BEER DOMESTIC,STRAUB,U16
Lot Matrix,SIPL,STRAUB IPL 12OZ NR CASE,0,37.39,24,BEER DOMESTIC,STRAUB,U16
Lot Matrix,STRAUBSAMPLER,STRAUB SAMPLER NR CASE,0,37.39,24,BEER DOMESTIC,STRAUB,U16
Lot Matrix,STO66,STRAUB OCT HEFF WEIZ NR CASE,0,37.39,24,BEER DOMESTIC,STRAUB,U16
Standard,720604550007,STRAUB OCT HEFFE NR 12 PK,-2,19.69,1,BEER DOMESTIC,STRAUB,U16
Standard,720604540008,STRAUB IPL 12OZ NR 12 PK,0,19.69,1,BEER DOMESTIC,STRAUB,U16
Standard,072040313730,STROHS 12OZ 30CANS,4,18.99,1,BEER DOMESTIC,STROHS,U16
Standard,072040313747,STROHS LIGHT 12OZ 30CANS,0,18.99,1,BEER DOMESTIC,STROHS,U16
Lot Matrix,089924241423,YUENGLING PREMIUM  12 OZ NR LOOSE CASE,144,17.69,24,BEER DOMESTIC,YUENGLING,U16
Standard,YNG 1/4BAR,YUENGLING 1/4 BARREL,0,54.99,1,BEER DOMESTIC,YUENGLING,B14
Standard,YNG 1/2BAR,YUENGLING 1/2 BARREL,0,87.69,1,BEER DOMESTIC,YUENGLING,B12
Standard,089924410034,YUENGLING LAGER 12 OZ NR LOOSE CASE,78,22.39,1,BEER DOMESTIC,YUENGLING,U16
Lot Matrix,YNG LGR 1/2BAR,YUENGLING LAGER 1/2 BARREL,0,123.39,1,BEER DOMESTIC,YUENGLING,B12
Lot Matrix,8725,YUENGLING LAGER 1/4 BARREL,0,71.49,1,BEER DOMESTIC,YUENGLING,B14
Standard,089924880073,YUENGLING LAGER 12 OZ CAN LOOSE CASE,42,20.75,1,BEER DOMESTIC,YUENGLING,U16
Lot Matrix,089924600169,YUENGLING LAGER 16 OZ CAN 4/6 PK CASE,246,24.49,24,BEER DOMESTIC,YUENGLING,U16
Standard,089924215059,YUENGLING LAGER LIGHT12 OZ NR LOOSE  CASE,18,22.39,1,BEER DOMESTIC,YUENGLING,U16
Standard,YNG LGR LT 1/2BAR,YUENGLING LAGER LIGHT 1/2 BAR,0,113.92,1,BEER DOMESTIC,YUENGLING,B12
