Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Lot Matrix,SB3,ST BONIFACE 3 LB IPACAN CAS,72,39.49,24,MICRO BREW,MICRO BREW,U16
Standard,869242000021,ST BONIFACE 3 LB IPACAN 12 PK,-3,21.89,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,SBV24,ST BONIFACE VARIETY CAN CAS,0,41.49,24,MICRO BREW,MICRO BREW,U16
Standard,869242000038,ST BONIFACE VARIETY CAN 12 PK,-3,21.89,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,LIPA66,LAGUNITAS IPA 2/12 PK NR CASE,0,41.19,24,MICRO BREW,MICRO BREW,U16
Standard,723830100091,LAGUNITAS IPA NR 12 PK,0,21.59,1,MICRO BREW,MICRO BREW,U16
Standard,723830100121,LAGUNITASLIL SUMPIN NR 12 PK,0,22.99,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,LALS66,LAGUNITASLIL SUMPIN 2/12 PK NR CASE,84,43.99,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,DSIPA66,DOCK STREET RYE IPA NR CASE,0,41.19,24,MICRO BREW,MICRO BREW,U16
Standard,712839601012,DOCK STREET RYE IPA NR 12 PK,5,22.59,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,DSP66,DOCK STREET PILSNER NR CASE,24,41.19,24,MICRO BREW,MICRO BREW,U16
Standard,712839601029,DOCK STREET PILSNER NR 12 PK,0,21.59,1,MICRO BREW,MICRO BREW,U16
Standard,723830100114,LAGUNITAS PILS NR 12 PK,-2,21.59,1,MICRO BREW,MICRO BREW,U16
Lot Matrix,LAP66,LAGUNITAS PILS 2/12 PK NR CASE,0,41.19,24,MICRO BREW,MICRO BREW,U16
Lot Matrix,723830800144,LAGUNITAS BR SHUG& UNDERCOVER 4/6 PK NR CASE,0,20.00,24,MICRO BREW,MICRO BREW,U16
Standard,MPC,MATCHES PACK CASE,1,33.87,1,NON TAXABLE MISC,,
Standard,30,COLD BEER 30C,-9,0.30,1,NON TAXABLE MISC,MISC NON-TAXABLE,
Standard,MATCHES,MATCHES PACK,0,0.50,1,NON TAXABLE MISC,MISC NON-TAXABLE,
Standard,029000075382,PLANTERS SALTED CASHEWS,17,1.59,1,NON TAXABLE MISC,SNACKS,
Standard,029000075368,PLANTERS HONEY PEANUTS,-10,0.50,1,NON TAXABLE MISC,SNACKS,
Standard,029000075351,PLANTERS SALTED PEANUTS,-3,0.50,1,NON TAXABLE MISC,SNACKS,
Standard,029000075399,PLANTERS HON ROA CASHEWS1.5 OZ,0,1.59,1,NON TAXABLE MISC,SNACKS,
Standard,029000075412,PLANTERS SMOKED ALMONDS1.5 OZ,0,1.99,1,NON TAXABLE MISC,SNACKS,
Standard,029000078789,PLANTERS NUTS SEEDSTRAIL MIX,0,3.19,1,NON TAXABLE MISC,SNACKS,
Standard,029000078802,PLANTERSFRUIT NUTS TRAIL MIX,0,3.19,1,NON TAXABLE MISC,SNACKS,
