Date,Sales,Cash Added,Subtotal,Total Tax,Taxable Sales,Nontaxable Sales,Discount,Sale Discount,Total Sales (Without Tax),Total Credit Amt,Total Cash Sales,Total EBT Sales,Total Coupons Sales,Total Paid out
07-01-2018,13878.86,0.00,13041.38,837.48,12644.24,397.14,0.00,123.43,13041.38,9087.15,4791.71,0.00,0.00,0.00
07-02-2018,7581.02,0.00,7115.81,465.21,7022.68,93.13,0.00,57.06,7115.81,5086.31,2494.71,0.00,0.00,0.00
07-03-2018,17517.05,0.00,16446.47,1070.58,16240.12,206.35,0.00,193.84,16446.47,12561.42,4955.63,0.00,0.00,0.00
07-04-2018,30231.57,0.00,28398.18,1833.39,27675.72,722.46,0.00,296.92,28398.18,21191.85,9039.72,0.00,0.00,107.00
07-05-2018,6021.55,0.00,5651.39,370.16,5588.09,63.30,0.00,29.94,5651.39,3504.71,2516.34,0.00,0.50,0.00
07-06-2018,14212.26,0.00,13335.90,876.36,13228.45,107.45,0.00,93.00,13335.90,9958.33,4251.43,0.00,2.50,0.00
07-07-2018,18462.28,0.00,17332.53,1129.75,17054.34,278.19,0.00,116.82,17332.53,12756.58,5705.70,0.00,0.00,0.00
Total,107904.59,0.00,101321.66,6582.93,99453.64,1868.02,0.00,911.01,101321.66,74146.35,33755.24,0.00,3.00,107.00
