User,Item Barcode,Item Name,Qty,Price,Total Price,Date Time,Action
Admin  User,"CLT 1/2 BAR","COORS LIGHT 1/2 BARREL",1,116.99,116.99,12-01-2017 16:53:41,Delete
Admin  User,100246648,1 LB Ham,2,2.99,5.98,12-01-2017 17:31:57,Delete
